ID,Name,Elevation,X,Y
3,MRMS_3,2473.351994,456462.5,4500587.5
6,MRMS_6,2479.25963,455603.9,4498372.4
7,MRMS_7,2465.247252,455610.5,4499482.4
8,MRMS_8,2322.886952,455617.1,4500592.5
9,MRMS_9,2483.047971,455623.7,4501702.5
11,MRMS_11,2510.919637,454758.2,4498377.5
12,MRMS_12,2422.454877,454765,4499487.5
13,MRMS_13,2358.824489,454771.7,4500597.6
14,MRMS_14,2521.649206,454778.5,4501707.6
16,MRMS_16,2584.336678,453912.6,4498382.7
17,MRMS_17,2622.870789,453919.5,4499492.7
18,MRMS_18,2437.075,453926.3,4500602.7
19,MRMS_19,2481.402388,453933.2,4501712.8
20,MRMS_20,2566.541082,453940.1,4502822.8
21,MRMS_21,2618.863299,453066.9,4498388
22,MRMS_22,2597.833273,453073.9,4499498
23,MRMS_23,2518.815873,453080.9,4500608
24,MRMS_24,2489.931676,453088,4501718.1
25,MRMS_25,2554.887591,453095,4502828.1
27,MRMS_27,2736.885654,452228.4,4499503.4
28,MRMS_28,2540.858097,452235.6,4500613.4
29,MRMS_29,2527.42354,452242.7,4501723.5
32,MRMS_32,2728.48378,451382.9,4499508.9
33,MRMS_33,2553.353351,451390.2,4500618.9
34,MRMS_34,2596.299158,451397.4,4501728.9
37,MRMS_37,2730.886685,450537.4,4499514.4
38,MRMS_38,2620.99787,450544.8,4500624.5
39,MRMS_39,2651.326664,450552.2,4501734.5
40,MRMS_40,2671.811623,450559.5,4502844.6
41,MRMS_41,2891.339759,449684.4,4498410.1
42,MRMS_42,2772.766512,449691.9,4499520.1
43,MRMS_43,2721.826639,449699.4,4500630.1
44,MRMS_44,2725.155259,449706.9,4501740.2
45,MRMS_45,2704.758494,449714.4,4502850.2
47,MRMS_47,2894.610854,448846.4,4499525.9
48,MRMS_48,2833.615263,448854,4500635.9
49,MRMS_49,2731.555509,448861.6,4501746
50,MRMS_50,2652.396425,448869.3,4502856
52,MRMS_52,2841.60643,448000.8,4499531.7
53,MRMS_53,2838.541926,448008.6,4500641.8
54,MRMS_54,2769.934933,448016.4,4501751.8
57,MRMS_57,2918.557159,447155.3,4499537.7
58,MRMS_58,2911.841674,447163.2,4500647.7
59,MRMS_59,2810.938342,447171.1,4501757.8
62,MRMS_62,3057.310974,446309.8,4499543.8
63,MRMS_63,2924.490268,446317.8,4500653.8
64,MRMS_64,2905.355783,446325.8,4501763.8
67,MRMS_67,3129.13813,445464.3,4499549.9
68,MRMS_68,2986.450429,445472.4,4500659.9
69,MRMS_69,2970.021047,445480.6,4501770
72,MRMS_72,3148.077829,444618.8,4499556.2
73,MRMS_73,3102.477093,444627,4500666.2
76,B_BrownLake,3198,440981.8,4500132.3
77,B_PoudreCrown,2198.296161,449332.7,4505379.7
78,B_BenCulv,2310.823472,456041.1,4500792.8
79,B_OldFlowers,2605.707442,452678.3,4498634.9
80,B_SaltCabin,2497.602482,451727.7,4501316.3
81,B_ME,2405.635952,454939.4,4499608.1
82,B_MM,2605.369327,453853.4,4499724.3
83,B_MW,2374.821676,454517.5,4500646
84,B_UE,2409.405438,453832.9,4500872.3
85,B_UW,2461.517567,452846.3,4501170.6
